repo,issue_id,issue_total_tokens,issue_body_tokens,issue_comment_tokens,issue_num_sections,issue_num_comments,issue_has_satd,issue_satd_section_ratio,issue_satd_token_ratio,issue_satd_primary_type,issue_sentiment_score,issue_sentiment_variance,issue_priority_score
visit,Issue_307,1010,0,197,19,13,0,0.0,0.0,,0.8594059405940594,0.9244045217445137,0.06024593213005607
visit,Issue_305,2854,0,1812,24,16,1,0.041666666666666664,0.004204625087596356,requirement_debt,0.8135949544498949,0.9839409545314143,0.1190839749082347
visit,Issue_299,773,0,554,26,20,1,0.15384615384615385,0.31953428201811124,code/design_debt,0.22121604139715395,0.9128035884193331,0.09999078390439221
visit,Issue_289,1029,0,202,15,7,1,0.06666666666666667,0.18950437317784258,scientific_debt,0.5082604470359572,0.7839522647876311,0.12758949286211332
visit,Issue_287,463,0,165,10,4,0,0.0,0.0,,-0.01511879049676026,1.018371126422197,0.08101066598623413
visit,Issue_286,583,0,148,9,3,0,0.0,0.0,,0.018867924528301886,0.9961631264586052,0.07331270847665014
visit,Issue_284,1360,0,934,14,10,1,0.14285714285714285,0.3191176470588235,scientific_debt,0.4470588235294118,0.6889372219476025,0.0644194911454315
visit,Issue_277,698,0,149,14,7,0,0.0,0.0,,-0.4871060171919771,1.6547917152920397,0.10607393644639805
visit,Issue_261,1125,0,705,17,11,1,0.058823529411764705,0.10311111111111111,scientific_debt,0.34933333333333333,0.8343475032679736,0.10698831170596984
visit,Issue_228,471,0,76,9,3,1,0.1111111111111111,0.008492569002123142,code/design_debt,0.7367303609341825,0.7241823347953413,0.007690236888711279
visit,Issue_215,795,0,358,16,10,1,0.1875,0.21509433962264152,code/design_debt,0.7056603773584905,0.4394660021359915,0.0873261752657105
visit,Issue_212,1670,0,1036,26,18,1,0.11538461538461539,0.045508982035928146,code/design_debt,0.49101796407185627,0.7878512895903268,0.07945771223906847
visit,Issue_209,454,0,103,9,3,1,0.1111111111111111,0.10572687224669604,documentation_debt,0.5154185022026432,0.9220438976110539,0.07165307864101116
visit,Issue_192,767,0,318,12,4,1,0.3333333333333333,0.3050847457627119,scientific_debt,0.7940026075619296,0.3071024615452607,0.04703416582817941
visit,Issue_186,1058,0,441,20,12,1,0.05,0.48015122873345933,code/design_debt,-0.32514177693761814,1.3658305966602464,0.06116703962041691
visit,Issue_185,363,0,88,7,3,0,0.0,0.0,,0.5867768595041323,1.1766565515626373,0.12046826037402047
visit,Issue_183,227,0,47,8,4,0,0.0,0.0,,-0.5418502202643172,1.5645267713326476,0.11507362902594219
